Index,True,Predicted
0,Fire_Disaster,Fire_Disaster
1,Fire_Disaster,Fire_Disaster
2,Fire_Disaster,Fire_Disaster
3,Fire_Disaster,Fire_Disaster
4,Fire_Disaster,Fire_Disaster
5,Fire_Disaster,Fire_Disaster
6,Fire_Disaster,Fire_Disaster
7,Fire_Disaster,Fire_Disaster
8,Fire_Disaster,Fire_Disaster
9,Fire_Disaster,Fire_Disaster
10,Fire_Disaster,Fire_Disaster
11,Fire_Disaster,Fire_Disaster
12,Fire_Disaster,Fire_Disaster
13,Fire_Disaster,Fire_Disaster
14,Fire_Disaster,Fire_Disaster
15,Fire_Disaster,Fire_Disaster
16,Fire_Disaster,Fire_Disaster
17,Fire_Disaster,Fire_Disaster
18,Fire_Disaster,Fire_Disaster
19,Fire_Disaster,Fire_Disaster
20,Fire_Disaster,Fire_Disaster
21,Fire_Disaster,Fire_Disaster
22,Fire_Disaster,Fire_Disaster
23,Fire_Disaster,Fire_Disaster
24,Fire_Disaster,Fire_Disaster
25,Fire_Disaster,Fire_Disaster
26,Fire_Disaster,Fire_Disaster
27,Fire_Disaster,Fire_Disaster
28,Fire_Disaster,Fire_Disaster
29,Fire_Disaster,Fire_Disaster
30,Fire_Disaster,Fire_Disaster
31,Fire_Disaster,Fire_Disaster
32,Fire_Disaster,Fire_Disaster
33,Fire_Disaster,Fire_Disaster
34,Fire_Disaster,Fire_Disaster
35,Fire_Disaster,Fire_Disaster
36,Fire_Disaster,Fire_Disaster
37,Fire_Disaster,Fire_Disaster
38,Fire_Disaster,Fire_Disaster
39,Fire_Disaster,Fire_Disaster
40,Fire_Disaster,Fire_Disaster
41,Fire_Disaster,Fire_Disaster
42,Fire_Disaster,Fire_Disaster
43,Fire_Disaster,Fire_Disaster
44,Fire_Disaster,Fire_Disaster
45,Fire_Disaster,Fire_Disaster
46,Fire_Disaster,Fire_Disaster
47,Fire_Disaster,Fire_Disaster
48,Fire_Disaster,Fire_Disaster
49,Fire_Disaster,Fire_Disaster
50,Fire_Disaster,Fire_Disaster
51,Fire_Disaster,Fire_Disaster
52,Fire_Disaster,Fire_Disaster
53,Fire_Disaster,Fire_Disaster
54,Fire_Disaster,Fire_Disaster
55,Fire_Disaster,Fire_Disaster
56,Fire_Disaster,Fire_Disaster
57,Fire_Disaster,Fire_Disaster
58,Fire_Disaster,Fire_Disaster
59,Fire_Disaster,Fire_Disaster
60,Fire_Disaster,Fire_Disaster
61,Fire_Disaster,Fire_Disaster
62,Fire_Disaster,Fire_Disaster
63,Fire_Disaster,Fire_Disaster
64,Fire_Disaster,Fire_Disaster
65,Fire_Disaster,Fire_Disaster
66,Fire_Disaster,Fire_Disaster
67,Fire_Disaster,Fire_Disaster
68,Fire_Disaster,Fire_Disaster
69,Fire_Disaster,Fire_Disaster
70,Fire_Disaster,Fire_Disaster
71,Fire_Disaster,Fire_Disaster
72,Fire_Disaster,Fire_Disaster
73,Fire_Disaster,Fire_Disaster
74,Fire_Disaster,Fire_Disaster
75,Fire_Disaster,Fire_Disaster
76,Fire_Disaster,Fire_Disaster
77,Fire_Disaster,Fire_Disaster
78,Fire_Disaster,Fire_Disaster
79,Fire_Disaster,Fire_Disaster
80,Fire_Disaster,Fire_Disaster
81,Fire_Disaster,Fire_Disaster
82,Fire_Disaster,Fire_Disaster
83,Fire_Disaster,Fire_Disaster
84,Fire_Disaster,Fire_Disaster
85,Fire_Disaster,Fire_Disaster
86,Fire_Disaster,Fire_Disaster
87,Fire_Disaster,Fire_Disaster
88,Fire_Disaster,Fire_Disaster
89,Fire_Disaster,Fire_Disaster
90,Fire_Disaster,Fire_Disaster
91,Fire_Disaster,Fire_Disaster
92,Fire_Disaster,Fire_Disaster
93,Fire_Disaster,Fire_Disaster
94,Fire_Disaster,Fire_Disaster
95,Fire_Disaster,Fire_Disaster
96,Fire_Disaster,Fire_Disaster
97,Fire_Disaster,Fire_Disaster
98,Fire_Disaster,Fire_Disaster
99,Fire_Disaster,Fire_Disaster
100,Fire_Disaster,Fire_Disaster
101,Fire_Disaster,Fire_Disaster
102,Fire_Disaster,Fire_Disaster
103,Fire_Disaster,Fire_Disaster
104,Fire_Disaster,Fire_Disaster
105,Fire_Disaster,Fire_Disaster
106,Fire_Disaster,Fire_Disaster
107,Fire_Disaster,Fire_Disaster
108,Fire_Disaster,Fire_Disaster
109,Fire_Disaster,Fire_Disaster
110,Fire_Disaster,Fire_Disaster
111,Fire_Disaster,Fire_Disaster
112,Fire_Disaster,Fire_Disaster
113,Fire_Disaster,Fire_Disaster
114,Fire_Disaster,Fire_Disaster
115,Fire_Disaster,Fire_Disaster
116,Fire_Disaster,Fire_Disaster
117,Fire_Disaster,Fire_Disaster
118,Fire_Disaster,Fire_Disaster
119,Fire_Disaster,Fire_Disaster
120,Fire_Disaster,Fire_Disaster
121,Fire_Disaster,Fire_Disaster
122,Fire_Disaster,Fire_Disaster
123,Fire_Disaster,Fire_Disaster
124,Fire_Disaster,Fire_Disaster
125,Fire_Disaster,Fire_Disaster
126,Fire_Disaster,Fire_Disaster
127,Fire_Disaster,Fire_Disaster
128,Fire_Disaster,Fire_Disaster
129,Fire_Disaster,Fire_Disaster
130,Fire_Disaster,Fire_Disaster
131,Fire_Disaster,Fire_Disaster
132,Fire_Disaster,Fire_Disaster
133,Fire_Disaster,Fire_Disaster
134,Fire_Disaster,Fire_Disaster
135,Fire_Disaster,Fire_Disaster
136,Fire_Disaster,Fire_Disaster
137,Fire_Disaster,Fire_Disaster
138,Fire_Disaster,Fire_Disaster
139,Fire_Disaster,Fire_Disaster
140,Fire_Disaster,Fire_Disaster
141,Fire_Disaster,Fire_Disaster
142,Fire_Disaster,Fire_Disaster
143,Fire_Disaster,Fire_Disaster
144,Fire_Disaster,Fire_Disaster
145,Fire_Disaster,Fire_Disaster
146,Fire_Disaster,Fire_Disaster
147,Fire_Disaster,Fire_Disaster
148,Fire_Disaster,Fire_Disaster
149,Fire_Disaster,Fire_Disaster
150,Fire_Disaster,Fire_Disaster
151,Fire_Disaster,Fire_Disaster
152,Fire_Disaster,Fire_Disaster
153,Fire_Disaster,Fire_Disaster
154,Fire_Disaster,Fire_Disaster
155,Fire_Disaster,Fire_Disaster
156,Fire_Disaster,Fire_Disaster
157,Fire_Disaster,Fire_Disaster
158,Fire_Disaster,Fire_Disaster
159,Fire_Disaster,Fire_Disaster
160,Fire_Disaster,Fire_Disaster
161,Fire_Disaster,Fire_Disaster
162,Fire_Disaster,Fire_Disaster
163,Fire_Disaster,Fire_Disaster
164,Fire_Disaster,Fire_Disaster
165,Fire_Disaster,Fire_Disaster
166,Fire_Disaster,Fire_Disaster
167,Fire_Disaster,Fire_Disaster
168,Fire_Disaster,Fire_Disaster
169,Fire_Disaster,Fire_Disaster
170,Fire_Disaster,Fire_Disaster
171,Fire_Disaster,Fire_Disaster
172,Fire_Disaster,Fire_Disaster
173,Fire_Disaster,Fire_Disaster
174,Fire_Disaster,Fire_Disaster
175,Fire_Disaster,Fire_Disaster
176,Fire_Disaster,Fire_Disaster
177,Fire_Disaster,Fire_Disaster
178,Fire_Disaster,Fire_Disaster
179,Fire_Disaster,Fire_Disaster
180,Fire_Disaster,Fire_Disaster
181,Fire_Disaster,Fire_Disaster
182,Fire_Disaster,Fire_Disaster
183,Fire_Disaster,Fire_Disaster
184,Fire_Disaster,Fire_Disaster
185,Fire_Disaster,Fire_Disaster
186,Fire_Disaster,Fire_Disaster
187,Fire_Disaster,Fire_Disaster
188,Fire_Disaster,Fire_Disaster
189,Fire_Disaster,Fire_Disaster
190,Fire_Disaster,Fire_Disaster
191,Fire_Disaster,Fire_Disaster
192,Fire_Disaster,Fire_Disaster
193,Fire_Disaster,Fire_Disaster
194,Fire_Disaster,Fire_Disaster
195,Fire_Disaster,Fire_Disaster
196,Fire_Disaster,Fire_Disaster
197,Fire_Disaster,Fire_Disaster
198,Fire_Disaster,Fire_Disaster
199,Fire_Disaster,Fire_Disaster
200,Fire_Disaster,Fire_Disaster
201,Fire_Disaster,Fire_Disaster
202,Fire_Disaster,Fire_Disaster
203,Fire_Disaster,Fire_Disaster
204,Fire_Disaster,Fire_Disaster
205,Fire_Disaster,Fire_Disaster
206,Fire_Disaster,Fire_Disaster
207,Fire_Disaster,Fire_Disaster
208,Fire_Disaster,Fire_Disaster
209,Fire_Disaster,Fire_Disaster
210,Fire_Disaster,Fire_Disaster
211,Fire_Disaster,Fire_Disaster
212,Fire_Disaster,Fire_Disaster
213,Fire_Disaster,Fire_Disaster
214,Fire_Disaster,Fire_Disaster
215,Fire_Disaster,Fire_Disaster
216,Fire_Disaster,Fire_Disaster
217,Fire_Disaster,Fire_Disaster
218,Fire_Disaster,Fire_Disaster
219,Fire_Disaster,Fire_Disaster
220,Fire_Disaster,Fire_Disaster
221,Fire_Disaster,Fire_Disaster
222,Fire_Disaster,Fire_Disaster
223,Fire_Disaster,Fire_Disaster
224,Fire_Disaster,Fire_Disaster
225,Fire_Disaster,Fire_Disaster
226,Fire_Disaster,Fire_Disaster
227,Fire_Disaster,Fire_Disaster
228,Fire_Disaster,Fire_Disaster
229,Fire_Disaster,Fire_Disaster
230,Fire_Disaster,Fire_Disaster
231,Fire_Disaster,Fire_Disaster
232,Fire_Disaster,Fire_Disaster
233,Fire_Disaster,Fire_Disaster
234,Fire_Disaster,Fire_Disaster
235,Fire_Disaster,Fire_Disaster
236,Fire_Disaster,Fire_Disaster
237,Fire_Disaster,Fire_Disaster
238,Fire_Disaster,Fire_Disaster
239,Fire_Disaster,Fire_Disaster
240,Fire_Disaster,Fire_Disaster
241,Fire_Disaster,Fire_Disaster
242,Fire_Disaster,Fire_Disaster
243,Fire_Disaster,Fire_Disaster
244,Fire_Disaster,Fire_Disaster
245,Fire_Disaster,Fire_Disaster
246,Fire_Disaster,Fire_Disaster
247,Fire_Disaster,Fire_Disaster
248,Fire_Disaster,Fire_Disaster
249,Fire_Disaster,Fire_Disaster
250,Fire_Disaster,Fire_Disaster
251,Fire_Disaster,Fire_Disaster
252,Fire_Disaster,Fire_Disaster
253,Fire_Disaster,Fire_Disaster
254,Fire_Disaster,Fire_Disaster
255,Fire_Disaster,Fire_Disaster
256,Fire_Disaster,Fire_Disaster
257,Fire_Disaster,Fire_Disaster
258,Fire_Disaster,Fire_Disaster
259,Fire_Disaster,Fire_Disaster
260,Fire_Disaster,Fire_Disaster
261,Fire_Disaster,Fire_Disaster
262,Fire_Disaster,Fire_Disaster
263,Fire_Disaster,Fire_Disaster
264,Fire_Disaster,Fire_Disaster
265,Fire_Disaster,Fire_Disaster
266,Fire_Disaster,Fire_Disaster
267,Fire_Disaster,Fire_Disaster
268,Fire_Disaster,Fire_Disaster
269,Fire_Disaster,Fire_Disaster
270,Fire_Disaster,Fire_Disaster
271,Fire_Disaster,Fire_Disaster
272,Fire_Disaster,Fire_Disaster
273,Fire_Disaster,Fire_Disaster
274,Fire_Disaster,Fire_Disaster
275,Fire_Disaster,Fire_Disaster
276,Fire_Disaster,Fire_Disaster
277,Fire_Disaster,Fire_Disaster
278,Fire_Disaster,Fire_Disaster
279,Fire_Disaster,Fire_Disaster
280,Fire_Disaster,Fire_Disaster
281,Fire_Disaster,Fire_Disaster
282,Fire_Disaster,Fire_Disaster
283,Fire_Disaster,Fire_Disaster
284,Fire_Disaster,Fire_Disaster
285,Fire_Disaster,Fire_Disaster
286,Fire_Disaster,Fire_Disaster
287,Fire_Disaster,Fire_Disaster
288,Fire_Disaster,Fire_Disaster
289,Fire_Disaster,Fire_Disaster
290,Fire_Disaster,Fire_Disaster
291,Fire_Disaster,Fire_Disaster
292,Fire_Disaster,Fire_Disaster
293,Fire_Disaster,Fire_Disaster
294,Fire_Disaster,Fire_Disaster
295,Fire_Disaster,Fire_Disaster
296,Fire_Disaster,Fire_Disaster
297,Fire_Disaster,Fire_Disaster
298,Fire_Disaster,Fire_Disaster
